"peiid","featkind","featdept","featdepb"
"64505","ochric epipedon",1,5
"64505","argillic horizon",15,79
"64505","paralithic contact",79,107
"64505","lithic contact",107,NA
"115595","ochric epipedon",0,10
"115595","argillic horizon",10,74
"115595","paralithic contact",74,81
"115819","ochric epipedon",0,10
"115819","argillic horizon",10,74
"115819","paralithic contact",74,81
"115827","ochric epipedon",1,5
"115827","argillic horizon",15,79
"115827","paralithic contact",79,107
"115827","lithic contact",107,NA
"207242","ochric epipedon",0,18
"207242","cambic horizon",10,99
"207242","paralithic contact",99,NA
"207255","ochric epipedon",0,13
"207255","argillic horizon",13,73
"207255","paralithic contact",73,97
"242808","ochric epipedon",0,18
"242808","argillic horizon",18,81
"242808","lithic contact",81,NA
"252820","ochric epipedon",0,10
"252820","argillic horizon",48,94
"252820","paralithic contact",99,NA
"252851","ochric epipedon",5,18
"252851","argillic horizon",18,68
"268791","ochric epipedon",0,15
"268791","argillic horizon",15,58
"268791","lithic contact",58,NA
"268793","ochric epipedon",0,10
"268793","argillic horizon",10,81
"268793","lithic contact",81,NA
"268794","ochric epipedon",0,5
"268794","argillic horizon",5,55
"268794","lithic contact",55,NA
"268795","ochric epipedon",0,15
"268795","argillic horizon",15,61
"268795","lithic contact",61,NA
"268820","ochric epipedon",0,23
"268820","argillic horizon",23,64
"268820","paralithic contact",64,NA
"307957","ochric epipedon",0,3
"307957","argillic horizon",30,58
"307957","paralithic contact",58,83
"307961","ochric epipedon",0,18
"307961","cambic horizon",5,28
"307961","argillic horizon",28,61
"307961","paralithic contact",61,86
"307963","ochric epipedon",0,18
"307963","cambic horizon",18,46
"307963","argillic horizon",46,86
"307963","paralithic contact",86,NA
"335567","ochric epipedon",0,18
"335567","cambic horizon",2,23
"335567","argillic horizon",23,91
"335567","lithic contact",91,NA
"338021","ochric epipedon",0,5
"338021","argillic horizon",13,51
"338021","lithic contact",66,NA
"338022","ochric epipedon",0,8
"338022","argillic horizon",18,74
"338022","lithic contact",89,NA
"338023","ochric epipedon",0,5
"338023","argillic horizon",15,48
"338023","lithic contact",66,NA
"338024","ochric epipedon",0,8
"338024","argillic horizon",18,46
"338024","lithic contact",66,NA
"338025","ochric epipedon",0,8
"338025","argillic horizon",18,74
"338025","lithic contact",74,NA
"338026","ochric epipedon",0,8
"338026","argillic horizon",15,61
"338026","lithic contact",61,NA
"338027","ochric epipedon",0,5
"338027","argillic horizon",12,53
"338027","lithic contact",66,NA
"338028","ochric epipedon",0,5
"338028","argillic horizon",15,61
"338028","lithic contact",61,NA
"338029","ochric epipedon",0,5
"338029","cambic horizon",5,23
"338029","argillic horizon",23,51
"338029","lithic contact",63,NA
"338040","ochric epipedon",0,12
"338040","argillic horizon",23,63
"338040","lithic contact",81,NA
"338041","ochric epipedon",0,10
"338041","argillic horizon",10,51
"338041","lithic contact",61,NA
"338042","ochric epipedon",0,5
"338042","argillic horizon",13,58
"338042","lithic contact",69,NA
"338043","ochric epipedon",0,5
"338043","argillic horizon",23,58
"338043","lithic contact",66,NA
"338044","ochric epipedon",0,5
"338044","argillic horizon",15,58
"338044","lithic contact",58,NA
"338045","ochric epipedon",0,5
"338045","argillic horizon",15,69
"338045","lithic contact",76,NA
"338046","ochric epipedon",0,5
"338046","argillic horizon",15,71
"338046","lithic contact",81,NA
"342445","ochric epipedon",0,9
"342445","argillic horizon",9,97
"342445","paralithic materials",97,110
"342445","lithic contact",110,NA
"346008","ochric epipedon",0,9
"346008","argillic horizon",9,97
"346008","paralithic contact",97,110
"346008","lithic contact",110,NA
"351685","ochric epipedon",0,28
"351685","cambic horizon",28,58
"351685","lithic contact",58,NA
"351686","ochric epipedon",0,8
"351686","cambic horizon",18,46
"351686","lithic contact",64,NA
"351687","ochric epipedon",0,8
"351687","cambic horizon",20,89
"351687","lithic contact",89,NA
"351688","ochric epipedon",0,10
"351688","cambic horizon",33,58
"351688","paralithic contact",58,71
"351688","lithic contact",71,NA
"351690","ochric epipedon",0,5
"351690","argillic horizon",25,63
"351690","lithic contact",76,NA
"351692","abrupt textural change",NA,NA
"351692","ochric epipedon",0,8
"351692","argillic horizon",18,97
"351692","lithic contact",97,NA
"351694","ochric epipedon",0,5
"351694","argillic horizon",13,61
"351694","lithic contact",61,NA
"351695","ochric epipedon",0,12
"351695","cambic horizon",12,56
"351695","lithic contact",66,NA
"351696","ochric epipedon",0,15
"351696","argillic horizon",15,66
"351697","ochric epipedon",0,28
"351697","argillic horizon",28,91
"351698","ochric epipedon",0,12
"351698","argillic horizon",12,43
"351698","paralithic contact",43,63
"351698","lithic contact",63,NA
"351700","ochric epipedon",2,13
"351700","argillic horizon",13,92
"351700","lithic contact",92,NA
"351701","ochric epipedon",0,18
"351701","argillic horizon",18,89
"351701","lithic contact",89,NA
"351702","ochric epipedon",0,10
"351702","argillic horizon",10,92
"351702","lithic contact",89,NA
"351703","ochric epipedon",0,10
"351703","argillic horizon",28,84
"351703","lithic contact",92,NA
"351704","ochric epipedon",0,5
"351704","cambic horizon",5,22
"351704","argillic horizon",22,58
"351704","lithic contact",58,NA
"351705","ochric epipedon",0,5
"351705","argillic horizon",15,66
"351705","lithic contact",66,NA
"351706","ochric epipedon",0,23
"351706","argillic horizon",23,61
"351716","ochric epipedon",0,10
"351716","argillic horizon",10,63
"351717","ochric epipedon",0,10
"351717","argillic horizon",10,71
"352493","ochric epipedon",0,5
"352493","argillic horizon",5,61
"352493","paralithic contact",61,69
"352493","lithic contact",69,203
"352495","ochric epipedon",2,8
"352495","cambic horizon",8,46
"352495","lithic contact",46,NA
"352496","ochric epipedon",0,8
"352496","argillic horizon",20,76
"352496","lithic contact",76,NA
"374201","ochric epipedon",0,3
"374201","argillic horizon",3,58
"374201","paralithic contact",58,NA
"374205","ochric epipedon",0,2
"374205","argillic horizon",2,66
"374205","paralithic contact",66,96
"374205","lithic contact",96,NA
"374209","ochric epipedon",0,3
"374209","argillic horizon",3,90
"374209","lithic contact",90,183
"374215","ochric epipedon",0,3
"374215","argillic horizon",17,66
"374215","lithic contact",82,183
"374216","ochric epipedon",0,12
"374216","argillic horizon",12,57
"374216","paralithic contact",57,72
"374216","lithic contact",72,200
"374219","ochric epipedon",0,8
"374219","argillic horizon",8,93
"374219","paralithic contact",93,105
"374219","lithic contact",105,200
"374220","ochric epipedon",0,7
"374220","argillic horizon",16,59
"374220","lithic contact",59,183
"374232","ochric epipedon",0,5
"374232","argillic horizon",5,65
"374232","paralithic contact",65,80
"414895","ochric epipedon",0,10
"414895","argillic horizon",10,54
"414895","paralithic contact",54,64
"414934","ochric epipedon",0,9
"414934","cambic horizon",9,24
"414934","argillic horizon",24,55
"414934","lithic contact",75,203
"414936","ochric epipedon",0,9
"414936","argillic horizon",9,76
"414936","paralithic contact",76,86
"414938","ochric epipedon",0,8
"414938","argillic horizon",8,72
"414938","paralithic contact",72,92
"414938","lithic contact",92,203
"414941","ochric epipedon",0,10
"414941","argillic horizon",25,64
"414941","paralithic contact",64,84
"414941","lithic contact",84,203
"425293","ochric epipedon",0,21
"425293","argillic horizon",21,71
"425293","paralithic contact",71,200
"463689","ochric epipedon",1,9
"463689","argillic horizon",9,59
"463689","paralithic contact",69,80
"463690","ochric epipedon",1,6
"463690","argillic horizon",6,59
"463690","paralithic contact",59,64
"477042","ochric epipedon",0,6
"477042","argillic horizon",6,80
"477042","paralithic contact",80,100
"477042","lithic contact",100,203
"477043","ochric epipedon",0,5
"477043","argillic horizon",5,58
"477043","paralithic contact",58,90
"477043","lithic contact",90,203
"477048","ochric epipedon",0,7
"477048","argillic horizon",7,65
"477048","lithic contact",65,203
"477055","ochric epipedon",0,15
"477055","argillic horizon",15,52
"477055","paralithic contact",52,66
"477055","lithic contact",66,203
"477056","ochric epipedon",0,6
"477056","argillic horizon",6,54
"477056","paralithic contact",54,64
"477057","ochric epipedon",0,8
"477057","argillic horizon",8,70
"477057","paralithic contact",70,80
"477059","ochric epipedon",0,9
"477059","argillic horizon",9,71
"477059","paralithic contact",71,81
"488565","ochric epipedon",0,7
"488565","argillic horizon",7,60
"488565","paralithic contact",60,NA
"488568","ochric epipedon",0,12
"488568","cambic horizon",12,30
"488568","argillic horizon",30,51
"488573","ochric epipedon",0,12
"488573","argillic horizon",12,60
"488573","paralithic contact",60,88
"488578","ochric epipedon",0,3
"488578","cambic horizon",3,18
"488578","argillic horizon",18,64
"488578","lithic contact",80,200
"488581","ochric epipedon",0,4
"488581","argillic horizon",4,63
"488581","paralithic contact",63,NA
"488582","ochric epipedon",0,3
"488582","cambic horizon",3,54
"488582","paralithic contact",54,71
"488587","ochric epipedon",0,18
"488587","cambic horizon",5,19
"488587","argillic horizon",19,56
"488587","paralithic contact",56,NA
"488596","ochric epipedon",0,5
"488596","argillic horizon",5,50
"488596","paralithic contact",50,NA
"488602","ochric epipedon",0,3
"488602","cambic horizon",3,31
"488602","argillic horizon",31,82
"488602","paralithic contact",82,NA
"488612","ochric epipedon",0,6
"488612","cambic horizon",6,78
"488633","ochric epipedon",0,4
"488633","cambic horizon",4,23
"488633","argillic horizon",23,65
"488633","paralithic contact",65,80
"488636","ochric epipedon",0,2
"488636","cambic horizon",2,17
"488636","argillic horizon",17,67
"488636","paralithic contact",89,95
"488640","ochric epipedon",0,19
"488640","argillic horizon",19,52
"488640","paralithic contact",52,NA
"493742","ochric epipedon",1,12
"493742","argillic horizon",12,68
"493742","paralithic contact",68,100
"530603","ochric epipedon",1,25
"530603","argillic horizon",25,70
"530603","paralithic contact",70,NA
"530611","ochric epipedon",0,8
"530611","argillic horizon",8,60
"530611","paralithic contact",60,200
"530634","ochric epipedon",0,20
"530634","argillic horizon",20,85
"530634","paralithic contact",85,NA
"530649","ochric epipedon",0,10
"530649","argillic horizon",10,54
"530649","paralithic contact",54,90
"530649","lithic contact",90,200
"530662","ochric epipedon",0,7
"530662","argillic horizon",7,60
"530662","paralithic contact",60,90
"530662","lithic contact",90,200
"530692","ochric epipedon",0,25
"530692","argillic horizon",25,76
"530692","paralithic contact",76,200
"530693","ochric epipedon",0,8
"530693","argillic horizon",8,71
"530693","paralithic contact",71,200
"530694","ochric epipedon",0,18
"530694","argillic horizon",18,56
"530694","paralithic contact",56,200
"530699","ochric epipedon",0,3
"530699","argillic horizon",3,67
"530699","paralithic contact",64,67
"530699","lithic contact",67,203
"530709","ochric epipedon",0,7
"530709","argillic horizon",7,60
"530709","paralithic contact",60,183
"530724","ochric epipedon",0,7
"530724","argillic horizon",7,55
"530724","paralithic contact",55,200
"530731","ochric epipedon",0,19
"530731","argillic horizon",19,63
"530731","paralithic contact",63,78
"530740","ochric epipedon",0,6
"530740","argillic horizon",6,65
"530740","paralithic contact",65,NA
"530744","ochric epipedon",0,9
"530744","argillic horizon",9,65
"530744","paralithic contact",65,90
"530751","ochric epipedon",0,6
"530751","argillic horizon",6,65
"530751","paralithic contact",65,NA
"530755","ochric epipedon",0,9
"530755","argillic horizon",9,65
"530755","paralithic contact",65,80
"530790","ochric epipedon",2,9
"530790","argillic horizon",9,75
"530790","paralithic contact",75,100
"533172","ochric epipedon",0,33
"533172","argillic horizon",33,64
"533172","paralithic contact",64,89
"533272","ochric epipedon",0,18
"533272","cambic horizon",28,61
"533272","lithic contact",61,NA
"533337","ochric epipedon",0,8
"533337","cambic horizon",8,48
"533337","argillic horizon",48,89
"533337","paralithic contact",89,114
"533462","ochric epipedon",0,12
"533462","argillic horizon",12,60
"533462","paralithic contact",60,NA
"533888","ochric epipedon",0,33
"533888","cambic horizon",33,56
"533888","paralithic contact",56,81
"533889","ochric epipedon",0,25
"533889","argillic horizon",25,61
"533889","paralithic contact",61,76
"542093","ochric epipedon",0,8
"542093","argillic horizon",8,56
"542093","paralithic contact",56,200
"542095","ochric epipedon",0,9
"542095","argillic horizon",9,90
"542095","paralithic contact",90,NA
"542120","mollic epipedon",0,29
"542120","cambic horizon",29,42
"542120","paralithic contact",87,NA
"542121","ochric epipedon",0,14
"542121","argillic horizon",14,60
"542121","paralithic contact",60,72
"542121","lithic contact",72,200
"542125","ochric epipedon",0,11
"542125","argillic horizon",11,78
"542125","paralithic contact",78,93
"542129","ochric epipedon",0,18
"542129","argillic horizon",32,148
"542129","paralithic contact",148,NA
"542130","ochric epipedon",1,13
"542130","argillic horizon",13,54
"542130","lithic contact",70,75
"542131","ochric epipedon",0,6
"542131","argillic horizon",6,72
"542131","paralithic contact",72,NA
"542153","ochric epipedon",0,5
"542153","argillic horizon",5,62
"542153","paralithic contact",62,NA
"542154","ochric epipedon",0,8
"542154","argillic horizon",8,73
"542154","paralithic contact",73,NA
"620521","ochric epipedon",0,2
"620521","argillic horizon",2,68
"620521","paralithic contact",68,85
"620522","ochric epipedon",0,3
"620522","argillic horizon",3,80
"620522","lithic contact",80,200
"620523","ochric epipedon",0,15
"620523","argillic horizon",15,57
"620523","lithic contact",57,200
"625813","ochric epipedon",0,14
"625813","argillic horizon",14,91
"625813","paralithic contact",91,101
"625815","ochric epipedon",0,15
"625815","cambic horizon",15,32
"625815","argillic horizon",32,86
"625815","paralithic contact",86,96
"625821","ochric epipedon",0,13
"625821","argillic horizon",13,72
"625821","paralithic contact",72,82
"625857","ochric epipedon",0,7
"625857","cambic horizon",7,19
"625857","argillic horizon",19,75
"640603","ochric epipedon",0,9
"640603","argillic horizon",9,82
"640603","paralithic contact",82,NA
"640607","ochric epipedon",3,6
"640607","argillic horizon",6,54
"640607","paralithic contact",54,NA
"640610","ochric epipedon",0,5
"640610","argillic horizon",5,89
"640610","lithic contact",89,200
"640616","ochric epipedon",0,9
"640616","argillic horizon",9,75
"640616","paralithic contact",75,80
"640625","ochric epipedon",0,3
"640625","argillic horizon",3,52
"640625","paralithic contact",52,NA
"640629","ochric epipedon",0,18
"640629","cambic horizon",10,33
"640629","argillic horizon",33,71
"640629","paralithic contact",71,96
"640630","ochric epipedon",0,8
"640630","argillic horizon",8,61
"640630","paralithic contact",61,86
"640631","ochric epipedon",0,20
"640631","argillic horizon",20,66
"640631","paralithic contact",66,91
"640650","ochric epipedon",0,5
"640650","cambic horizon",5,84
"640650","lithic contact",84,200
"839192","ochric epipedon",0,5
"839192","argillic horizon",5,75
"839192","paralithic contact",75,100
"839203","ochric epipedon",0,8
"839203","argillic horizon",8,60
"839203","paralithic contact",60,85
"839203","lithic contact",85,200
"894094","ochric epipedon",0,4
"894094","argillic horizon",4,64
"894094","paralithic contact",80,NA
"894095","ochric epipedon",0,NA
"894095","cambic horizon",3,NA
"894095","argillic horizon",15,NA
"894095","paralithic contact",53,NA
"894118","ochric epipedon",0,5
"894118","argillic horizon",5,59
"894118","paralithic contact",59,NA
"894137","ochric epipedon",0,8
"894137","argillic horizon",8,75
"894137","paralithic materials",75,93
"894137","lithic contact",93,NA
"894144","ochric epipedon",0,2
"894144","argillic horizon",2,50
"894145","ochric epipedon",0,20
"894145","argillic horizon",20,60
"894145","lithic contact",60,NA
"894196","umbric epipedon",4,84
"894197","mollic epipedon",1,57
"894198","ochric epipedon",0,18
"894198","cambic horizon",15,53
"894198","lithologic discontinuity",53,NA
"894250","umbric epipedon",0,54
"930921","umbric epipedon",0,31
"930921","cambic horizon",31,94
"978605","umbric epipedon",3,60
"978605","paralithic contact",160,185
"978606","umbric epipedon",2,24
"978606","argillic horizon",24,60
"978606","paralithic contact",60,70
"978607","ochric epipedon",2,10
"978607","argillic horizon",28,65
"978607","paralithic contact",65,92
"978607","paralithic materials",65,92
"978609","umbric epipedon",5,95
"978609","paralithic contact",165,200
"978610","ochric epipedon",2,30
"978610","argillic horizon",30,90
"978610","paralithic contact",90,115
"1137354","ochric epipedon",0,18
"1137354","argillic horizon",18,60
"1137354","lithic contact",60,NA
"1147151",NA,NA,NA
"1147151","ochric epipedon",0,10
"1147151","argillic horizon",10,41
"1147151","lithic contact",63,NA
"1147190","ochric epipedon",0,20
"1147190","argillic horizon",20,46
"1147190","lithic contact",58,NA
